"Yr","Mo","Day","Date","Hr","WindSpeed","Temperature"
2017,10,1,"2017_10_01",0,"7.2","-0.5"
2017,10,1,"2017_10_01",1,"7.7","-0.6"
2017,10,1,"2017_10_01",10,"8.7","-0.5"
2017,10,1,"2017_10_01",11,"8.2","-0.2"
2017,10,1,"2017_10_01",12,"9.2","-0.3"
2017,10,1,"2017_10_01",13,"7.7","-0.1"
2017,10,1,"2017_10_01",14,"8.2","-0.2"
2017,10,1,"2017_10_01",15,"6.6","-0.1"
2017,10,1,"2017_10_01",16,"7.2","-0.1"
2017,10,1,"2017_10_01",17,"6.1","0"
2017,10,1,"2017_10_01",18,"5.6","-0.1"
2017,10,1,"2017_10_01",19,"5.6","-0.1"
2017,10,1,"2017_10_01",2,"9.2","-0.3"
2017,10,1,"2017_10_01",20,"4.6","0"
2017,10,1,"2017_10_01",21,"4.1","0"
2017,10,1,"2017_10_01",22,"4.1","0.1"
2017,10,1,"2017_10_01",23,"4.1","0.3"
2017,10,1,"2017_10_01",3,"8.7","-0.5"
2017,10,1,"2017_10_01",4,"8.7","-0.6"
2017,10,1,"2017_10_01",5,"8.7","-0.6"
2017,10,1,"2017_10_01",6,"9.7","-0.6"
2017,10,1,"2017_10_01",7,"10.2","-0.6"
2017,10,1,"2017_10_01",8,"9.2","-0.7"
2017,10,1,"2017_10_01",9,"9.2","-0.5"
2017,10,10,"2017_10_10",0,"3.6","2.2"
2017,10,10,"2017_10_10",1,"3.6","2.1"
2017,10,10,"2017_10_10",10,"6.1","-0.3"
2017,10,10,"2017_10_10",11,"6.6","0.3"
2017,10,10,"2017_10_10",12,"7.7","1.2"
2017,10,10,"2017_10_10",13,"4.6","4.9"
2017,10,10,"2017_10_10",14,"7.2","3.5"
2017,10,10,"2017_10_10",15,"5.1","3.1"
2017,10,10,"2017_10_10",16,"6.1","4.5"
2017,10,10,"2017_10_10",17,"4.1","4.8"
2017,10,10,"2017_10_10",18,"5.1","5.1"
2017,10,10,"2017_10_10",19,"6.6","5.1"
2017,10,10,"2017_10_10",2,"4.6","1.7"
2017,10,10,"2017_10_10",20,"4.6","5.2"
2017,10,10,"2017_10_10",21,"3.6","4"
2017,10,10,"2017_10_10",22,"3.6","3.8"
2017,10,10,"2017_10_10",23,"6.6","3.5"
2017,10,10,"2017_10_10",3,"2.5","0.6"
2017,10,10,"2017_10_10",4,"3.6","0.4"
2017,10,10,"2017_10_10",5,"3.6","0.2"
2017,10,10,"2017_10_10",6,"3","0"
2017,10,10,"2017_10_10",7,"2","-0.2"
2017,10,10,"2017_10_10",8,"2.5","-0.3"
2017,10,10,"2017_10_10",9,"5.1","-0.3"
2017,10,11,"2017_10_11",0,"4.1","2.1"
2017,10,11,"2017_10_11",1,"3.6","1.7"
2017,10,11,"2017_10_11",10,"7.7","0.5"
2017,10,11,"2017_10_11",11,"7.2","0.8"
2017,10,11,"2017_10_11",12,"8.7","-0.1"
2017,10,11,"2017_10_11",13,"7.7","0"
2017,10,11,"2017_10_11",14,"9.7","-0.7"
2017,10,11,"2017_10_11",15,"9.7","-1.4"
2017,10,11,"2017_10_11",16,"8.2","-1.7"
2017,10,11,"2017_10_11",17,"8.2","-1.5"
2017,10,11,"2017_10_11",18,"9.7","-1.5"
2017,10,11,"2017_10_11",19,"8.7","-2.3"
2017,10,11,"2017_10_11",2,"5.6","1.1"
2017,10,11,"2017_10_11",20,"8.7","-1.8"
2017,10,11,"2017_10_11",21,"9.7","-2"
2017,10,11,"2017_10_11",22,"10.2","-1.4"
2017,10,11,"2017_10_11",23,"9.2","-1.3"
2017,10,11,"2017_10_11",3,"7.2","1.1"
2017,10,11,"2017_10_11",4,"8.7","1.3"
2017,10,11,"2017_10_11",5,"11.8","1.3"
2017,10,11,"2017_10_11",6,"9.7","1.3"
2017,10,11,"2017_10_11",7,"8.7","1.3"
2017,10,11,"2017_10_11",8,"8.7","0.6"
2017,10,11,"2017_10_11",9,"8.7","0.6"
2017,10,12,"2017_10_12",0,"9.2","-0.9"
2017,10,12,"2017_10_12",1,"7.7","-1.3"
2017,10,12,"2017_10_12",10,"4.1","-1.3"
2017,10,12,"2017_10_12",11,"2.5","-0.7"
2017,10,12,"2017_10_12",12,"4.6","-0.7"
2017,10,12,"2017_10_12",13,"2","0.5"
2017,10,12,"2017_10_12",14,"6.6","1.3"
2017,10,12,"2017_10_12",15,"7.2","0.5"
